Date,Bullish,Neutral,Bearish,T+1,T+2,T+3,T+4,Bu_Be_Ne,Strength,Bu<->Be,Spread,MatchT+1,MatchT+2,MatchT+3,MatchT+4
2018-07-05,0.278552,0.328691,0.392758,0.008481296202235589,0.008823039183714743,0.0034732074550045677,-0.007094178621538827,Be,Moderate,0.11420599999999997,Low,N,N,N,Y
2018-07-12,0.430508,0.277966,0.291525,0.0010792305300737493,-0.001028090429120665,0.00397365665748306,0.0021604883344306103,Bu,Moderate,0.13898300000000002,Low,Y,N,Y,Y
2018-08-09,0.363636,0.326019,0.310345,-0.0071138709971333425,-0.004005957759204981,0.00638924424064391,-0.00760221974957398,Bu,Moderate,0.05329100000000003,Low,N,N,Y,N
2018-08-16,0.361702,0.347518,0.29078,0.0033231362802699227,0.002427959426412052,0.0020685672284348477,-0.0003981892866123937,Bu,Moderate,0.07092200000000004,Low,Y,Y,Y,N
2018-08-23,0.384615,0.344729,0.270655,0.0061988533346399866,0.007670392285776817,0.0002692682118519141,0.005701427427593275,Bu,Moderate,0.11396,Low,Y,Y,Y,Y
2018-08-30,0.434959,0.321138,0.243902,0.00013443037712890238,-0.001654305329620409,-0.002803170482476691,-0.0036522883057535926,Bu,Moderate,0.19105699999999998,Mid,Y,N,N,N
2018-09-06,0.422222,0.314815,0.262963,-0.0022133041469051262,0.001897843770893859,0.0037398379635260603,0.00035666178420923345,Bu,Moderate,0.15925899999999998,Mid,N,Y,Y,Y
2018-09-27,0.362205,0.326772,0.311024,-6.863417982172493e-06,0.0036410682297065566,-0.00039663679353352244,0.0007114930065028613,Bu,Moderate,0.051180999999999977,Low,N,Y,N,Y
2018-10-04,0.456621,0.292237,0.251142,-0.005527965508803745,-0.00039506925841348295,-0.0014179577940874877,-0.032864175757028824,Bu,Moderate,0.20547900000000002,Mid,N,N,N,N
2018-10-11,0.306061,0.339394,0.354545,0.014206284338267983,-0.005905035180855278,0.021495643069809,-0.0002526762327753618,Be,Moderate,0.04848399999999997,Low,N,Y,N,Y
2018-10-18,0.33935,0.310469,0.350181,-0.00036116990154511086,-0.0042994746692295305,-0.00551185102399232,-0.030864490329077787,Be,Moderate,0.010831000000000035,Low,Y,Y,Y,Y
2018-10-25,0.279693,0.310345,0.409962,-0.01732721755489608,-0.006559621467715271,0.015666824420255576,0.010851291456518197,Be,Strong,0.13026899999999997,Low,Y,Y,N,N
2018-11-01,0.37931,0.275862,0.344828,-0.006316665267828814,0.005600317290107348,0.006259335137365651,0.02120887695294771,Bu,Moderate,0.03448199999999996,Low,N,Y,Y,Y
2018-11-08,0.412844,0.275229,0.311927,-0.009198989607493102,-0.019701475363267495,-0.001481905348797996,-0.007567464311691308,Bu,Moderate,0.10091699999999998,Low,N,N,N,N
2018-11-15,0.350877,0.289474,0.359649,0.0022232803457622463,-0.016643094431470606,-0.018151208036480848,0.00304327583661701,Be,Moderate,0.008772000000000002,Low,N,Y,Y,N
2018-11-22,0.252525,0.276094,0.47138,0.015532409517731827,0.003261703042884756,0.02297393528374414,-0.0021976900564546487,Be,Strong,0.21885500000000002,Mid,N,N,N,Y
2018-11-29,0.338816,0.266447,0.394737,0.00818552393197347,0.010941355061463431,-0.03236488351007216,-0.0015221883958135285,Be,Moderate,0.055921,Low,N,N,Y,Y
2018-12-06,0.379433,0.315603,0.304965,-0.02332016543333515,0.001762194844060927,-0.00035636837875119287,0.005419488922094429,Bu,Moderate,0.07446800000000003,Low,N,Y,N,Y
2018-12-13,0.20904,0.30226,0.488701,-0.019086676677205427,-0.020773476413007863,8.641209140813899e-05,-0.015395733182517968,Be,Strong,0.279661,Mid,Y,Y,N,Y
2018-12-20,0.248649,0.278378,0.472973,-0.020588306814405377,-0.02711224768478282,0.049593807154098,0.008562629168861635,Be,Strong,0.22432399999999997,Mid,Y,Y,N,N
2018-12-27,0.315476,0.181548,0.502976,-0.0012415472330372657,0.008492440882795549,0.0012685242435728217,-0.02475667621502542,Be,Strong,0.1875,Mid,Y,N,N,Y
2019-01-03,0.330189,0.242138,0.427673,0.0343356931888279,0.00701043468644591,0.009695296290921585,0.0040980263439003295,Be,Strong,0.09748400000000002,Low,N,N,N,N
2019-01-10,0.384615,0.321678,0.293706,-0.00014634296629478794,-0.005257562801876614,0.010721711756711327,0.002221966823736654,Bu,Moderate,0.09090899999999996,Low,N,N,Y,Y
2019-01-17,0.335347,0.302115,0.362538,0.013183052853609212,-0.014157284018107563,0.0022028941471379238,0.001375677416909804,Be,Moderate,0.02719100000000002,Low,N,Y,N,N
2019-01-24,0.37659,0.300254,0.323155,0.0084887201825663,-0.0078468605052614,-0.001456209694195909,0.015549242424242493,Bu,Moderate,0.053434999999999955,Low,Y,N,N,Y
2019-02-07,0.398734,0.373418,0.227848,0.0006762624489569102,0.0007090417596054,0.012890250202966858,0.003023976857468691,Bu,Moderate,0.17088599999999998,Mid,Y,Y,Y,Y
2019-02-21,0.393189,0.352941,0.25387,0.006411088047050706,0.0012317960947767492,-0.0007903837831845228,-0.0005440423780378456,Bu,Moderate,0.13931900000000003,Low,Y,Y,N,N
2019-02-28,0.416327,0.383673,0.2,0.0068953381050032014,-0.0038806002090102654,-0.0011314768996100177,-0.0065241159285216455,Bu,Moderate,0.216327,Mid,Y,N,N,N
2019-03-07,0.37386,0.358663,0.267477,-0.0021317385309919112,0.014666049353461608,0.0029533287823806376,0.006949618845646821,Bu,Moderate,0.106383,Low,N,Y,Y,Y
2019-04-11,0.402878,0.393285,0.203837,0.006609378462220095,-0.0006294261903205811,0.000509364739569973,-0.002273774879087531,Bu,Moderate,0.19904100000000002,Mid,Y,N,Y,N
2019-05-09,0.431159,0.336957,0.231884,0.0037203210344445292,-0.024130630943291487,0.008016017810211773,0.00583895766667486,Bu,Moderate,0.199275,Mid,Y,N,Y,Y
2019-05-16,0.298246,0.308772,0.392982,-0.005837319908772343,-0.006749360908960611,0.008495790833841,-0.002824365652362215,Be,Moderate,0.09473599999999999,Low,Y,Y,N,Y
2019-05-30,0.247934,0.35124,0.400826,-0.013195355808466647,-0.0027652013400870645,0.021432345278653342,0.008161896642135735,Be,Moderate,0.15289200000000003,Mid,Y,Y,N,N
2019-06-06,0.225275,0.348901,0.425824,0.010497663083042452,0.0046600819951694294,-0.00034987685027698667,-0.002037619727485618,Be,Strong,0.20054899999999998,Mid,N,N,Y,Y
