Date,Close
1/1/14,1.3763
1/2/14,1.36629
1/3/14,1.35867
1/4/14,1.3587
1/5/14,1.3594
1/6/14,1.3629
1/7/14,1.3615
1/8/14,1.3572
1/9/14,1.3606
1/10/14,1.36664
1/11/14,1.367
1/12/14,1.3669
1/13/14,1.3666
1/14/14,1.3667
1/15/14,1.3596
1/16/14,1.3617
1/17/14,1.35376
1/18/14,1.354
1/19/14,1.3526
1/20/14,1.35449
1/21/14,1.356
1/22/14,1.3542
1/23/14,1.3686
1/24/14,1.36755
1/25/14,1.3675
1/26/14,1.36901
1/27/14,1.3674
1/28/14,1.36544
1/29/14,1.3657
1/30/14,1.3557
1/31/14,1.34858
2/1/14,1.3487
2/2/14,1.3488
2/3/14,1.35243
2/4/14,1.3514
2/5/14,1.35328
2/6/14,1.35893
2/7/14,1.36341
2/8/14,1.3634
2/9/14,1.36193
2/10/14,1.36452
2/11/14,1.3637
2/12/14,1.3589
2/13/14,1.3677
2/14/14,1.36913
2/15/14,1.3691
2/16/14,1.3698
2/17/14,1.3703
2/18/14,1.37597
2/19/14,1.37278
2/20/14,1.37172
2/21/14,1.37362
2/22/14,1.3739
2/23/14,1.3737
2/24/14,1.37334
2/25/14,1.3745
2/26/14,1.36824
2/27/14,1.3707
2/28/14,1.38
3/1/14,1.38
3/2/14,1.3774
3/3/14,1.37359
3/4/14,1.37375
3/5/14,1.37307
3/6/14,1.38628
3/7/14,1.3879
3/8/14,1.3879
3/9/14,1.3877
3/10/14,1.3877
3/11/14,1.3855
3/12/14,1.3902
3/13/14,1.38641
3/14/14,1.3914
3/15/14,1.3914
3/16/14,1.39103
3/17/14,1.39263
3/18/14,1.393
3/19/14,1.38219
3/20/14,1.3779
3/21/14,1.37918
3/22/14,1.3797
3/23/14,1.37945
3/24/14,1.3837
3/25/14,1.38163
3/26/14,1.37815
3/27/14,1.3739
3/28/14,1.37513
3/29/14,1.3752
3/30/14,1.37477
3/31/14,1.3772
4/1/14,1.37923
4/2/14,1.37642
4/3/14,1.37162
4/4/14,1.36992
4/5/14,1.3705
4/6/14,1.3696
4/7/14,1.37429
4/8/14,1.37928
4/9/14,1.38528
4/10/14,1.3885
4/11/14,1.38832
4/12/14,1.3884
4/13/14,1.38457
4/14/14,1.3816
4/15/14,1.38152
